,trip_count,avg_speed,avg_distance_km,avg_duration_minutes,weekend_share,casual_share,crash_rate_per_10k,severity_per_10k
trip_count,1.0,-0.08761558930147753,-0.08858114368690172,-0.087019629488209,-0.0925238220122056,-0.17504503146560885,-0.1101082767970371,-0.03228273658876258
avg_speed,-0.08761558930147753,1.0,0.4799233972577366,-0.3265938259322711,-0.07000513219405138,-0.07470335834746157,-0.012462623290672742,-0.007572184399229415
avg_distance_km,-0.08858114368690172,0.4799233972577366,1.0,0.37781383823926135,-0.011031796600261422,0.0541065398009181,0.0029370991955746887,-0.011260917562307023
avg_duration_minutes,-0.087019629488209,-0.3265938259322711,0.37781383823926135,1.0,0.06415383219170266,0.19523841606399225,0.046482499385527135,0.0011221364183127763
weekend_share,-0.0925238220122056,-0.07000513219405138,-0.011031796600261422,0.06415383219170266,1.0,0.15417269775573217,0.01644088480566393,-0.000910555335280818
casual_share,-0.17504503146560885,-0.07470335834746157,0.0541065398009181,0.19523841606399225,0.15417269775573217,1.0,0.14238833264535125,0.04319887770442449
crash_rate_per_10k,-0.1101082767970371,-0.012462623290672742,0.0029370991955746887,0.046482499385527135,0.01644088480566393,0.14238833264535125,1.0,0.2743517049270855
severity_per_10k,-0.03228273658876258,-0.007572184399229415,-0.011260917562307023,0.0011221364183127763,-0.000910555335280818,0.04319887770442449,0.2743517049270855,1.0
