,trip_count,avg_speed,avg_distance_km,avg_duration_minutes,weekend_share,casual_share,crash_rate_per_10k,severity_per_10k
trip_count,1.0,-0.07563802832313955,-0.0028168407542859247,-0.05810494171036688,-0.08430061718406483,-0.2674694917473106,-0.15020767605006136,0.1618290287105136
avg_speed,-0.07563802832313955,1.0,0.4796349460212972,-0.33929649717892313,-0.08420897328520105,-0.07581460032139792,-0.05446792433593767,-0.04426361986589913
avg_distance_km,-0.0028168407542859247,0.4796349460212972,1.0,0.4305193627729425,0.014794407225205471,0.1366599617157393,-0.014737241041652211,-0.016801405735699854
avg_duration_minutes,-0.05810494171036688,-0.33929649717892313,0.4305193627729425,1.0,0.10677614356161713,0.24668335294829222,0.044527627466362955,-0.014928158729104725
weekend_share,-0.08430061718406483,-0.08420897328520105,0.014794407225205471,0.10677614356161713,1.0,0.2732421025616353,0.008716369666645003,-0.018303261535206658
casual_share,-0.2674694917473106,-0.07581460032139792,0.1366599617157393,0.24668335294829222,0.2732421025616353,1.0,0.054678808818909776,-0.036944164496361794
crash_rate_per_10k,-0.15020767605006136,-0.05446792433593767,-0.014737241041652211,0.044527627466362955,0.008716369666645003,0.054678808818909776,1.0,0.18189453282374707
severity_per_10k,0.1618290287105136,-0.04426361986589913,-0.016801405735699854,-0.014928158729104725,-0.018303261535206658,-0.036944164496361794,0.18189453282374707,1.0
